INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
number = 0b111011001 leading one at 8
number = 0b111011010 leading one at 8
number = 0b111011011 leading one at 8
number = 0b111011100 leading one at 8
number = 0b111011101 leading one at 8
number = 0b111011110 leading one at 8
number = 0b111011111 leading one at 8
number = 0b111100000 leading one at 8
number = 0b111100001 leading one at 8
number = 0b111100010 leading one at 8
number = 0b111100011 leading one at 8
number = 0b111100100 leading one at 8
number = 0b111100101 leading one at 8
number = 0b111100110 leading one at 8
number = 0b111100111 leading one at 8
number = 0b111101000 leading one at 8
number = 0b111101001 leading one at 8
number = 0b111101010 leading one at 8
number = 0b111101011 leading one at 8
number = 0b111101100 leading one at 8
number = 0b111101101 leading one at 8
number = 0b111101110 leading one at 8
number = 0b111101111 leading one at 8
number = 0b111110000 leading one at 8
number = 0b111110001 leading one at 8
number = 0b111110010 leading one at 8
number = 0b111110011 leading one at 8
number = 0b111110100 leading one at 8
number = 0b111110101 leading one at 8
number = 0b111110110 leading one at 8
number = 0b111110111 leading one at 8
number = 0b111111000 leading one at 8
number = 0b111111001 leading one at 8
number = 0b111111010 leading one at 8
number = 0b111111011 leading one at 8
number = 0b111111100 leading one at 8
number = 0b111111101 leading one at 8
number = 0b111111110 leading one at 8
number = 0b111111111 leading one at 8
Test passed! 
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
